subfigure	H	multicellular	xmin	density
A	Loops	Metazoa & Embryophyta	0.00220560617122289	0.00182702003540015
A	Loops	Metazoa & Embryophyta	0.00227757291745406	0.00232534704799946
A	Loops	Metazoa & Embryophyta	0.00235188786738119	0.00486951780510654
A	Loops	Metazoa & Embryophyta	0.00242862764056661	0.00608666757835694
A	Loops	Metazoa & Embryophyta	0.0025078713565931	0.0114268933567776
A	Loops	Metazoa & Embryophyta	0.00258970071663715	0.0161425738999429
A	Loops	Metazoa & Embryophyta	0.00267420008770373	0.0181132833365653
A	Loops	Metazoa & Embryophyta	0.00276145658960971	0.0146781036277675
A	Loops	Metazoa & Embryophyta	0.00285156018480534	0.038118191819536
A	Loops	Metazoa & Embryophyta	0.00294460377112656	0.0439937976425728
A	Loops	Metazoa & Embryophyta	0.00304068327757377	0.0247079761671336
A	Loops	Metazoa & Embryophyta	0.00313989776321569	0.0169800993100743
A	Loops	Metazoa & Embryophyta	0.0032423495193204	0.0149800028774999
A	Loops	Metazoa & Embryophyta	0.00334814417481881	0.01396098285
A	Loops	Metazoa & Embryophyta	0.0034573908052093	0.0111619569997382
A	Loops	Metazoa & Embryophyta	0.00357020204501578	0.00939588360261265
A	Loops	Metazoa & Embryophyta	0.00368669420391521	0.00980075469508168
A	Loops	Metazoa & Embryophyta	0.00380698738665417	0.00850630717704659
A	Loops	Metazoa & Embryophyta	0.00393120561687825	0.0173209740372231
A	Loops	Metazoa & Embryophyta	0.00405947696500183	0.0154419026384468
A	Loops	Metazoa & Embryophyta	0.00419193368025014	0.026102325591596
A	Loops	Metazoa & Embryophyta	0.00432871232700972	0.0793253141324898
A	Loops	Metazoa & Embryophyta	0.00446995392562791	0.0298968555932126
A	Loops	Metazoa & Embryophyta	0.00461580409780636	0.019192350281161
A	Loops	Metazoa & Embryophyta	0.0047664132167387	0.0176050264180065
A	Loops	Metazoa & Embryophyta	0.00492193656214708	0.0200886425605182
A	Loops	Metazoa & Embryophyta	0.00508253448037723	0.0238062570684799
A	Loops	Metazoa & Embryophyta	0.00524837254971745	0.0218873587049532
A	Loops	Metazoa & Embryophyta	0.00541962175111171	0.0199981233722077
A	Loops	Metazoa & Embryophyta	0.00559645864444292	0.0176354034583925
A	Loops	Metazoa & Embryophyta	0.00577906555056822	0.0130938472884347
A	Loops	Metazoa & Embryophyta	0.00596763073929385	0.0122584723332607
A	Loops	Metazoa & Embryophyta	0.00616234862348347	0.0129176963492368
A	Loops	Metazoa & Embryophyta	0.00636341995950007	0.0116430321838659
A	Loops	Metazoa & Embryophyta	0.00657105205418804	0.0140296354233085
A	Loops	Metazoa & Embryophyta	0.0067854589786089	0.0405652076050436
A	Loops	Metazoa & Embryophyta	0.00700686178875104	0.0130768455061625
A	Loops	Metazoa & Embryophyta	0.00723548875344091	0.0384694890327939
A	Loops	Metazoa & Embryophyta	0.00747157558969086	0.029370035741092
A	Loops	Metazoa & Embryophyta	0.00771536570572603	0.0273652678608679
A	Loops	Metazoa & Embryophyta	0.007967110451941	0.0154017806694891
A	Loops	Metazoa & Embryophyta	0.00822706938004495	0.0351984617326139
A	Loops	Metazoa & Embryophyta	0.00849551051066242	0.0268872803911559
A	Loops	Metazoa & Embryophyta	0.00877271060966564	0.00879316350602029
A	Loops	Metazoa & Embryophyta	0.0090589554735233	0.00953522129168947
A	Loops	Metazoa & Embryophyta	0.00935454022395998	0.00444719811569073
A	Loops	Metazoa & Embryophyta	0.00965976961223004	0.00611469240216602
A	Loops	Metazoa & Embryophyta	0.00997495833331959	0.00507128032024769
A	Loops	Metazoa & Embryophyta	0.0103004313504007	0.00428027078561501
A	Loops	Metazoa & Embryophyta	0.0106365242298719	0.00470810163330359
A	Loops	Metazoa & Embryophyta	0.0109835834873315	0.00369004025331135
A	Loops	Metazoa & Embryophyta	0.0113419669448385	0.00142271853138704
A	Loops	Metazoa & Embryophyta	0.0117120440998317	0.000626145646989787
A	Loops	Metazoa & Embryophyta	0.0120941965060854	0.000617008464227702
A	Loops	Metazoa & Embryophyta	0.0124888181670961	0.000564814291252798
A	Loops	Metazoa & Embryophyta	0.0128963159423042	0.00116112560145282
A	Loops	Metazoa & Embryophyta	0.0133171099665712	0.00139788633648061
A	Loops	Metazoa & Embryophyta	0.0137516340833429	0.000507949808808031
A	Loops	Metazoa & Embryophyta	0.0142003362919476	0.00157783609800555
A	Loops	Metazoa & Embryophyta	0.0146636792094881	0.000807681865460816
A	Loops	Metazoa & Embryophyta	0.0151421405478056	0.000363185613463554
A	Loops	Metazoa & Embryophyta	0.0156362136060055	0.000395137284910892
A	Loops	Metazoa & Embryophyta	0.0161464077790549	0.000716773341511849
A	Loops	Metazoa & Embryophyta	0.0166732490829746	0.000232370416277446
A	Loops	Metazoa & Embryophyta	0.0172172806971672	0.000605276478782177
A	Loops	Metazoa & Embryophyta	0.0177790635244418	0.000254707922594102
A	Loops	Metazoa & Embryophyta	0.0183591767693108	0.000217266202608786
A	Loops	Metazoa & Embryophyta	0.0189582185351569	0.000261899229992084
A	Loops	Metazoa & Embryophyta	0.0195768064408836	5.26673348332431e-07
A	Loops	Metazoa & Embryophyta	0.0202155782576884	2.09468356827079e-06
