bucket,domain,freq,weighted,h,meas
104,E,187,1.527508899801862962952883,1,nrep
105,A,7,0.003800485596830177069314,1,nrep
105,B,301,0.143306280161217635726414,1,nrep
105,E,287,16.248579854439416949219935,1,nrep
106,A,9,0.002042928840318480013087,1,nrep
106,B,331,0.124426778351881649699685,1,nrep
106,E,223,5.690891214722899080166940,1,nrep
107,A,11,0.002789871597762414001678,1,nrep
107,B,367,0.178326473555774901934786,1,nrep
107,E,195,9.002315726322719868039211,1,nrep
108,A,12,0.002602196979227423462421,1,nrep
108,B,476,0.089416532710835435353528,1,nrep
108,E,380,43.258635163286839941508658,1,nrep
109,A,5,0.000489391589463557920072,1,nrep
109,B,249,0.054126140768196598877594,1,nrep
109,E,125,4.160205565556105269182273,1,nrep
110,A,10,0.003904079397481577584638,1,nrep
110,B,343,0.080648897257210127062404,1,nrep
110,E,372,21.945071234786295392163872,1,nrep
111,A,11,0.002251537755127410071969,1,nrep
111,B,337,1.198000075264655549945981,1,nrep
111,E,362,27.717170751567263921537683,1,nrep
112,A,3,0.000304048755497068996996,1,nrep
112,B,282,0.051449948657922699804773,1,nrep
112,E,209,3.265424253420043779924193,1,nrep
113,A,11,0.002745306283138097651871,1,nrep
113,B,419,0.072180244633045123559086,1,nrep
113,E,256,8.308317521465562637548273,1,nrep
114,A,14,0.003753223337711323696838,1,nrep
114,B,370,0.474928136631578679777468,1,nrep
114,E,269,8.450594796927126991021430,1,nrep
115,A,9,0.001199545957458825603753,1,nrep
115,B,366,0.063096866688595433410866,1,nrep
115,E,189,1.110767706286539827008286,1,nrep
116,A,4,0.001974813273338709302356,1,nrep
116,B,333,1.449393901211144534208974,1,nrep
116,E,307,12.613692430697840333968181,1,nrep
117,A,12,0.001617104082955409531204,1,nrep
117,B,414,0.080883766996231104955469,1,nrep
117,E,230,7.646967215098265877576191,1,nrep
118,A,13,0.003904236720307123677162,1,nrep
118,B,416,0.094258566684420066735475,1,nrep
118,E,332,9.062992621709596428337209,1,nrep
119,A,11,0.001858294800893423026460,1,nrep
119,B,453,0.083122888032177463357188,1,nrep
119,E,312,18.777959572353940794381123,1,nrep
120,A,9,0.003908306135826462264534,1,nrep
120,B,337,1.140520352719402939497575,1,nrep
120,E,292,12.192700323326864856220510,1,nrep
121,A,14,0.004211359437291314931826,1,nrep
121,B,429,0.093438801965823751908763,1,nrep
121,E,233,8.317655262406548191886954,1,nrep
122,A,12,0.004895360592430264613726,1,nrep
122,B,466,0.115121025071654157389575,1,nrep
122,E,333,36.496166802571474266991268,1,nrep
123,A,10,0.003372360014094095289052,1,nrep
123,B,422,0.075998052723318618008067,1,nrep
123,E,306,8.536318069255552520845359,1,nrep
124,A,19,0.006916745977781969206625,1,nrep
124,B,465,0.141949690523028142859316,1,nrep
