bucket,multicell,freq,weighted,h,meas
92,t,100,0.017596025648100806386616,1,nrep
93,f,41,2.062089377426909447885217,1,nrep
93,t,205,9.965706374362745684223060,1,nrep
94,f,29,0.046318146638668319503330,1,nrep
94,t,204,13.015098986355354064349055,1,nrep
95,f,34,2.684566447140676537446802,1,nrep
95,t,210,28.972808081556589636646528,1,nrep
96,f,37,2.423838587609239935098256,1,nrep
96,t,205,4.339256075835361527507504,1,nrep
97,f,33,0.138070120438504624423005,1,nrep
97,t,171,2.325239136002898531732715,1,nrep
98,f,20,2.558527789136529828116584,1,nrep
98,t,186,9.766039818835071913958607,1,nrep
99,f,12,0.334408322645133148352310,1,nrep
99,t,134,0.358532936910826854087052,1,nrep
100,f,23,0.146678518745706317252726,1,nrep
100,t,288,25.616372840856549547956318,1,nrep
101,f,33,0.109640160570769514655782,1,nrep
101,t,271,19.141674252877775690252978,1,nrep
102,f,23,0.911249179053457284403020,1,nrep
102,t,116,0.516265594667826293575627,1,nrep
103,f,57,4.722170761163461644711396,1,nrep
103,t,232,7.107137270101640542477191,1,nrep
104,f,17,0.023616910308032525880065,1,nrep
104,t,170,1.503891989493830437072818,1,nrep
105,f,32,2.596570852184540095761939,1,nrep
105,t,255,13.652009002254876853457996,1,nrep
106,f,28,0.003832333453384015839832,1,nrep
106,t,195,5.687058881269515064327108,1,nrep
107,f,33,0.252172852492929463336650,1,nrep
107,t,162,8.750142873829790404702561,1,nrep
108,f,39,0.279725155737862395923550,1,nrep
108,t,341,42.978910007548977545585108,1,nrep
109,f,14,0.001893245620644105002021,1,nrep
109,t,111,4.158312319935461164180252,1,nrep
110,f,40,2.515536054599091477745115,1,nrep
110,t,332,19.429535180187203914418757,1,nrep
111,f,82,8.548271984877617038115921,1,nrep
111,t,280,19.168898766689646883421762,1,nrep
112,f,19,1.004938306465588100318356,1,nrep
112,t,190,2.260485946954455679605837,1,nrep
113,f,34,1.439138659361447167991613,1,nrep
113,t,222,6.869178862104115469556660,1,nrep
114,f,27,0.150409122339248541854916,1,nrep
114,t,242,8.300185674587878449166514,1,nrep
115,f,37,0.390297771735076517093680,1,nrep
115,t,152,0.720469934551463309914606,1,nrep
116,f,43,0.273418059374574229845575,1,nrep
116,t,264,12.340274371323266104122606,1,nrep
117,f,33,0.503302476927203500555892,1,nrep
117,t,197,7.143664738171062377020299,1,nrep
118,f,24,0.009902090828718275557875,1,nrep
118,t,308,9.053090530880878152779334,1,nrep
119,f,92,14.325981055069266337517383,1,nrep
119,t,220,4.451978517284674456863740,1,nrep
120,f,32,0.664418502909640194999774,1,nrep
120,t,260,11.528281820417224661220736,1,nrep
121,f,22,0.003184953061085161160665,1,nrep
121,t,211,8.314470309345463030726289,1,nrep
122,f,31,0.070677002047973530644896,1,nrep
122,t,302,36.425489800523500736346372,1,nrep
123,f,33,0.016782482620284867637255,1,nrep
123,t,273,8.519535586635267653208104,1,nrep
124,f,26,0.505145606146176880997508,1,nrep
124,t,246,6.314803475356483749574764,1,nrep
125,f,36,0.052310498857134666716797,1,nrep
125,t,291,12.133346070802167059319429,1,nrep
126,f,21,0.064217281697101561067412,1,nrep
126,t,193,5.776201365293912553829445,1,nrep
127,f,113,17.732970858326037209158196,1,nrep
