accession	tempOptimMin	tempOptimMax	tempMin	tempMax	path
Q3UN02	37.0	37.0			PH/100/10090-4/AF-Q3UN02-F1-model_v3.json.gz
Q3V1F8	37.0	37.0			PH/100/10090-4/AF-Q3V1F8-F1-model_v3.json.gz
Q540D7	37.0	37.0			PH/100/10090-4/AF-Q540D7-F1-model_v3.json.gz
Q60856	30.0	30.0			PH/100/10090-5/AF-Q60856-F1-model_v3.json.gz
Q61263	37.0	37.0			PH/100/10090-5/AF-Q61263-F1-model_v3.json.gz
Q61391	37.0	37.0			PH/100/10090-5/AF-Q61391-F1-model_v3.json.gz
Q61847	37.0	37.0			PH/100/10090-5/AF-Q61847-F1-model_v3.json.gz
Q61955	37.0	37.0			PH/100/10090-5/AF-Q61955-F1-model_v3.json.gz
Q61955	25.0	25.0			PH/100/10090-5/AF-Q61955-F1-model_v3.json.gz
Q62074	20.0	20.0			PH/100/10090-5/AF-Q62074-F1-model_v3.json.gz
Q64285	30.0	30.0			PH/100/10090-5/AF-Q64285-F1-model_v3.json.gz
Q64521	37.0	37.0			PH/100/10090-5/AF-Q64521-F1-model_v3.json.gz
Q64702	30.0	30.0			PH/100/10090-5/AF-Q64702-F1-model_v3.json.gz
Q6PFX8	30.0	30.0			PH/100/10090-5/AF-Q6PFX8-F1-model_v3.json.gz
Q6VVW9	37.0	37.0			PH/100/10090-5/AF-Q6VVW9-F1-model_v3.json.gz
Q6WQJ1	20.0	20.0			PH/100/10090-5/AF-Q6WQJ1-F1-model_v3.json.gz
Q6WQJ1	25.0	25.0			PH/100/10090-5/AF-Q6WQJ1-F1-model_v3.json.gz
Q6XK23	37.0	37.0			PH/100/10090-5/AF-Q6XK23-F1-model_v3.json.gz
Q6ZPS2	37.0	37.0			PH/100/10090-5/AF-Q6ZPS2-F1-model_v3.json.gz
Q71RI9	38.0	38.0	40.0	70.0	PH/100/10090-5/AF-Q71RI9-F1-model_v3.json.gz
Q71RI9	60.0	60.0	40.0	70.0	PH/100/10090-5/AF-Q71RI9-F1-model_v3.json.gz
Q71RI9	50.0	60.0	40.0	70.0	PH/100/10090-5/AF-Q71RI9-F1-model_v3.json.gz
Q7TSV6	37.0	37.0			PH/100/10090-5/AF-Q7TSV6-F1-model_v3.json.gz
Q80TL1	37.0	37.0			PH/100/10090-5/AF-Q80TL1-F1-model_v3.json.gz
Q80UN9	37.0	37.0			PH/100/10090-5/AF-Q80UN9-F1-model_v3.json.gz
Q80WS1	30.0	30.0			PH/100/10090-5/AF-Q80WS1-F1-model_v3.json.gz
Q80WS1	30.0	30.0			PH/100/10090-5/AF-Q80WS1-F1-model_v3.json.gz
Q80Y20	37.0	37.0			PH/100/10090-5/AF-Q80Y20-F1-model_v3.json.gz
Q8BGL3	37.0	37.0			PH/100/10090-5/AF-Q8BGL3-F1-model_v3.json.gz
Q8BGW1	20.0	20.0			PH/100/10090-5/AF-Q8BGW1-F1-model_v3.json.gz
Q8BH82	37.0	37.0			PH/100/10090-5/AF-Q8BH82-F1-model_v3.json.gz
Q8BI55	30.0	30.0			PH/100/10090-5/AF-Q8BI55-F1-model_v3.json.gz
Q8BJQ9	37.0	37.0			PH/100/10090-5/AF-Q8BJQ9-F1-model_v3.json.gz
Q8BM11	37.0	37.0			PH/100/10090-5/AF-Q8BM11-F1-model_v3.json.gz
Q8BTY1	60.0	70.0			PH/100/10090-6/AF-Q8BTY1-F1-model_v3.json.gz
Q8BYI6	37.0	37.0			PH/100/10090-6/AF-Q8BYI6-F1-model_v3.json.gz
Q8C0N2	23.0	23.0			PH/100/10090-6/AF-Q8C0N2-F1-model_v3.json.gz
Q8C0N2	37.0	37.0			PH/100/10090-6/AF-Q8C0N2-F1-model_v3.json.gz
Q8C172	37.0	37.0			PH/100/10090-6/AF-Q8C172-F1-model_v3.json.gz
Q8C1F4	37.0	37.0			PH/100/10090-6/AF-Q8C1F4-F1-model_v3.json.gz
Q8C2W3	30.0	30.0			PH/100/10090-6/AF-Q8C2W3-F1-model_v3.json.gz
Q8CGC7	37.0	37.0			PH/100/10090-6/AF-Q8CGC7-F1-model_v3.json.gz
Q8CGC7	37.0	37.0			PH/100/10090-6/AF-Q8CGC7-F1-model_v3.json.gz
Q8CI15	37.0	37.0			PH/100/10090-6/AF-Q8CI15-F1-model_v3.json.gz
Q8JZL3	37.0	37.0			PH/100/10090-6/AF-Q8JZL3-F1-model_v3.json.gz
Q8K2C8	23.0	23.0			PH/100/10090-6/AF-Q8K2C8-F1-model_v3.json.gz
Q8K469	30.0	30.0			PH/100/10090-6/AF-Q8K469-F1-model_v3.json.gz
Q8K4D7	37.0	37.0			PH/100/10090-6/AF-Q8K4D7-F1-model_v3.json.gz
Q8K4Q7	37.0	37.0			PH/100/10090-6/AF-Q8K4Q7-F1-model_v3.json.gz
Q8R0V5	37.0	37.0			PH/100/10090-6/AF-Q8R0V5-F1-model_v3.json.gz
Q8R173	25.0	25.0			PH/100/10090-6/AF-Q8R173-F1-model_v3.json.gz
Q8R1G2	37.0	37.0			PH/100/10090-6/AF-Q8R1G2-F1-model_v3.json.gz
Q8R1K1	30.0	30.0			PH/100/10090-6/AF-Q8R1K1-F1-model_v3.json.gz
Q8R4X1	37.0	37.0			PH/100/10090-6/AF-Q8R4X1-F1-model_v3.json.gz
Q8VCC2	37.0	37.0			PH/100/10090-6/AF-Q8VCC2-F1-model_v3.json.gz
Q8VCH7	37.0	37.0			PH/100/10090-6/AF-Q8VCH7-F1-model_v3.json.gz
Q8VDL4	37.0	37.0			PH/100/10090-6/AF-Q8VDL4-F1-model_v3.json.gz
Q8VI95	30.0	30.0			PH/100/10090-6/AF-Q8VI95-F1-model_v3.json.gz
Q8VI97	30.0	30.0			PH/100/10090-6/AF-Q8VI97-F1-model_v3.json.gz
Q91V01	37.0	37.0			PH/100/10090-6/AF-Q91V01-F1-model_v3.json.gz
Q91VL8	30.0	30.0			PH/100/10090-6/AF-Q91VL8-F1-model_v3.json.gz
Q91WC9	37.0	37.0			PH/100/10090-6/AF-Q91WC9-F1-model_v3.json.gz
Q91WC9	20.0	20.0			PH/100/10090-6/AF-Q91WC9-F1-model_v3.json.gz
Q91WC9	25.0	25.0			PH/100/10090-6/AF-Q91WC9-F1-model_v3.json.gz
Q91X52	25.0	25.0			PH/100/10090-6/AF-Q91X52-F1-model_v3.json.gz
Q91XE4	37.0	37.0			PH/100/10090-6/AF-Q91XE4-F1-model_v3.json.gz
Q91ZP3	30.0	30.0			PH/100/10090-6/AF-Q91ZP3-F1-model_v3.json.gz
Q922X9	10.0	25.0	10.0	37.0	PH/100/10090-7/AF-Q922X9-F1-model_v3.json.gz
Q924S2	30.0	30.0			PH/100/10090-7/AF-Q924S2-F1-model_v3.json.gz
Q924X7	30.0	30.0			PH/100/10090-7/AF-Q924X7-F1-model_v3.json.gz
Q924Z4	37.0	37.0			PH/100/10090-7/AF-Q924Z4-F1-model_v3.json.gz
Q99JR6	37.0	37.0			PH/100/10090-7/AF-Q99JR6-F1-model_v3.json.gz
Q99JW2	40.0	40.0			PH/100/10090-7/AF-Q99JW2-F1-model_v3.json.gz
Q99KK2	22.0	22.0			PH/100/10090-7/AF-Q99KK2-F1-model_v3.json.gz
Q99KQ4	37.0	37.0			PH/100/10090-7/AF-Q99KQ4-F1-model_v3.json.gz
Q99MU3	30.0	30.0			PH/100/10090-7/AF-Q99MU3-F1-model_v3.json.gz
Q99NF1	37.0	37.0			PH/100/10090-7/AF-Q99NF1-F1-model_v3.json.gz
Q9CQF9	37.0	37.0			PH/100/10090-7/AF-Q9CQF9-F1-model_v3.json.gz
Q9CZR2	37.0	37.0			PH/100/10090-7/AF-Q9CZR2-F1-model_v3.json.gz
Q9D110	24.0	28.0			PH/100/10090-7/AF-Q9D110-F1-model_v3.json.gz
Q9D2R0	30.0	30.0			PH/100/10090-7/AF-Q9D2R0-F1-model_v3.json.gz
Q9D6J1	37.0	37.0			PH/100/10090-7/AF-Q9D6J1-F1-model_v3.json.gz
Q9D6K9	37.0	37.0			PH/100/10090-7/AF-Q9D6K9-F1-model_v3.json.gz
Q9D7V9	37.0	37.0			PH/100/10090-7/AF-Q9D7V9-F1-model_v3.json.gz
Q9DB60	24.0	24.0			PH/100/10090-7/AF-Q9DB60-F1-model_v3.json.gz
Q9DBK0	37.0	37.0			PH/100/10090-7/AF-Q9DBK0-F1-model_v3.json.gz
